dataset,encoding,reps,q,n_features,d2,d2_ceiling,pca95,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,note,n
breast_cancer,zz,1,2,2,2.487611052827032,3,10,0.3025874273786449,0.2729183379412301,0.48781386022969625,0.33544824374061244,1.4542149775179671,False,"ZZ, one layer",32
breast_cancer,zz,1,3,3,2.487611052827032,3,10,0.1389416726953531,0.17685458210342644,0.2686594544235869,0.12225241062117671,2.197580015465555,True,"ZZ, one layer",32
breast_cancer,zz,1,4,4,2.487611052827032,3,10,0.07109624701637521,0.10759813245026084,0.10968598802959481,0.07130032575530304,1.5383658751578255,False,"ZZ, one layer",32
breast_cancer,zz,1,5,5,2.487611052827032,3,10,0.034251810911008075,0.06299785005455018,0.03980755090968059,0.038838980080922396,1.0249381118335277,False,"ZZ, one layer",32
breast_cancer,zz,1,6,6,2.487611052827032,3,10,0.018878066882138438,0.04562123667065568,0.015480256922934163,0.01569950753149981,0.986034555025007,False,"ZZ, one layer",32
breast_cancer,zz,1,7,7,2.487611052827032,3,10,0.00833157069924706,0.020634489723043485,0.009291980361147813,0.008610441177832887,1.0791526437773609,False,"ZZ, one layer",32
breast_cancer,zz,1,8,8,2.487611052827032,3,10,0.004616671080822378,0.015015060911682684,0.004104795260842148,0.006480618749220851,0.633395578367522,False,"ZZ, one layer",32
breast_cancer,zz,2,2,2,2.487611052827032,3,10,0.3314729642793247,0.26283961346934903,0.42991994492000873,0.34674958199294154,1.239857139694433,False,"ZZ, two layers",32
breast_cancer,zz,2,3,3,2.487611052827032,3,10,0.16586972013911908,0.17524127529743594,0.25079122242306906,0.21856343045256726,1.1474528099406633,False,"ZZ, two layers",32
breast_cancer,zz,2,4,4,2.487611052827032,3,10,0.07861703189322854,0.1031321455310849,0.13229057384190776,0.0996164894608858,1.3279987535984328,False,"ZZ, two layers",32
breast_cancer,zz,2,5,5,2.487611052827032,3,10,0.04189890464006773,0.06226945904207249,0.03998458762355034,0.04804637173864063,0.8322082641547995,False,"ZZ, two layers",32
breast_cancer,zz,2,6,6,2.487611052827032,3,10,0.021930601788414113,0.04252399163237104,0.032041180299600514,0.0319101266349388,1.0041069615975207,False,"ZZ, two layers",32
breast_cancer,zz,2,7,7,2.487611052827032,3,10,0.012202616501926942,0.021631979612999123,0.010720945873671745,0.0174847792227927,0.6131587786762672,False,"ZZ, two layers",32
breast_cancer,zz,2,8,8,2.487611052827032,3,10,0.005172984668850223,0.009649830243979748,0.004526766142347976,0.007279979643628649,0.6218102747457196,False,"ZZ, two layers",32
breast_cancer,z,1,2,2,2.487611052827032,3,10,0.3767555219967362,0.3482962802161472,0.894108630066599,0.4327152494194535,2.0662748337761787,True,Z (product states),32
breast_cancer,z,1,3,3,2.487611052827032,3,10,0.23178862347377435,0.28991849517683654,0.667096853573901,0.06542990114732551,10.19559623163467,True,Z (product states),32
breast_cancer,z,1,4,4,2.487611052827032,3,10,0.13145890014398093,0.2118972102561553,0.3905839033849798,0.02279231390746882,17.1366498798961,True,Z (product states),32
breast_cancer,z,1,5,5,2.487611052827032,3,10,0.08144468398291102,0.1693732394019876,0.29034144919201965,0.0044697789574315245,64.95655645550289,True,Z (product states),32
breast_cancer,z,1,6,6,2.487611052827032,3,10,0.060884506389631506,0.14180408690265722,0.26642782267732923,0.003493616008919132,76.26133553233792,True,Z (product states),32
breast_cancer,z,1,7,7,2.487611052827032,3,10,0.031380977329654905,0.09480751589324066,0.13985346893571304,0.0011765105577785056,118.87141004478974,False,Z (product states),32
breast_cancer,z,1,8,8,2.487611052827032,3,10,0.024604187107054098,0.08239301741311887,0.10488109573967039,5.5697825545695524e-05,1883.0375281638958,False,Z (product states),32
breast_cancer,iqp,1,2,2,2.487611052827032,3,10,0.5554902481186368,0.30109879364628767,0.9611610553337455,0.06720520667125748,14.301883781644818,True,"IQP, linear CP",32
breast_cancer,iqp,1,3,3,2.487611052827032,3,10,0.3354272696746733,0.2748603076747302,0.6561652539313646,0.024898917319154647,26.35316409627896,True,"IQP, linear CP",32
