dataset,encoding,q,n_features,layers,depth,d2,d2_ceiling,pca95,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,note,n
breast_cancer,zz,3,3,1,8,2.487611052827032,3,10,0.1389416726953531,0.17685458210342644,0.2686594544235869,0.12225241062117671,2.197580015465555,True,1:1 at D2 ceiling,32
breast_cancer,zz,7,7,1,20,2.487611052827032,3,10,0.00833157069924706,0.020634489723043485,0.009291980361147813,0.008610441177832887,1.0791526437773609,False,1:1 beyond ceiling,32
breast_cancer,dense_angle,3,3,1,7,2.487611052827032,3,10,0.5848818778723609,0.32775801268411614,0.9121697164208273,0.015071872726043245,60.52132558448796,True,"dense, same features as ceiling ZZ",32
breast_cancer,dense_angle,3,6,1,7,2.487611052827032,3,10,0.35963745867819275,0.2732605734686665,0.6808757293869049,0.0066811496195153695,101.9099658235604,True,2 features/qubit at ceiling q,32
breast_cancer,reuploading,3,6,2,11,2.487611052827032,3,10,0.30530431273495223,0.26171345307348426,0.6799940989083401,0.01699191230622578,40.018691637149786,True,re-upload extra PCs onto ceiling q,32
breast_cancer,reuploading,3,12,4,21,2.487611052827032,3,10,0.16519797848657017,0.1841016253796461,0.19125035379995203,0.09763869187405191,1.9587557978209456,False,re-upload toward PCA-95% onto ceiling q,32
moons,zz,2,2,1,5,0.7203213491478936,2,19,0.24583587957959718,0.23098669467578134,0.7678498182355108,0.2056344418268768,3.7340525809482927,True,1:1 at D2 ceiling,32
moons,zz,7,7,1,20,0.7203213491478936,2,19,0.008744134500497451,0.01773498178881919,0.014264772251221063,0.004333052898676605,3.292083568972304,False,1:1 beyond ceiling,32
moons,dense_angle,2,2,1,5,0.7203213491478936,2,19,0.562072241627702,0.30309844507393696,0.9895441930285024,0.013760259998099494,71.91319009707475,True,"dense, same features as ceiling ZZ",32
moons,dense_angle,2,4,1,5,0.7203213491478936,2,19,0.37323065530416677,0.2700686899173242,0.6948119103171361,0.007949577560219797,87.40236887479658,True,2 features/qubit at ceiling q,32
moons,reuploading,2,4,2,8,0.7203213491478936,2,19,0.3151735585706125,0.28139854767664424,0.6892388541506923,0.04847063831950606,14.21971894835397,True,re-upload extra PCs onto ceiling q,32
moons,reuploading,2,16,8,32,0.7203213491478936,2,19,0.26566506335675816,0.25282824173349067,0.21202640147883084,0.3564928322570715,0.5947564222720078,False,re-upload toward PCA-95% onto ceiling q,32
pendigits,zz,6,6,1,17,5.351224674332798,6,10,0.02315485202069737,0.06968038546736743,0.24909606274127785,0.013580522699254052,18.342155766578863,False,1:1 at D2 ceiling,32
pendigits,zz,8,8,1,23,5.351224674332798,6,10,0.009348574305619686,0.047571398105148544,0.14241048324095912,0.0038698767511477876,36.79974645154289,False,1:1 beyond ceiling,32
pendigits,dense_angle,6,6,1,13,5.351224674332798,6,10,0.2216089716001721,0.23571791086810043,0.9059129081478572,0.0050951267874404325,177.79987543802574,True,"dense, same features as ceiling ZZ",32
pendigits,dense_angle,6,12,1,13,5.351224674332798,6,10,0.07295888703121335,0.13368160483058772,0.5844351359590048,0.0024673904931800453,236.86365720156746,True,2 features/qubit at ceiling q,32
pendigits,reuploading,6,12,2,17,5.351224674332798,6,10,0.04752975353857867,0.1228898236468679,0.532120882643451,0.01086238365981397,48.98748739763848,True,re-upload extra PCs onto ceiling q,32
pendigits,reuploading,6,16,3,22,5.351224674332798,6,10,0.02833524358775285,0.07259605624031956,0.26293302721020817,0.013398087296618311,19.62466890901455,False,re-upload toward PCA-95% onto ceiling q,32
