dataset,near_floor,ratio_floor,mean_floor,knee,base_knee,delta
breast,0.125,1.0,0.015,3,3,0
breast,0.125,1.0,0.03,3,3,0
breast,0.125,1.0,0.045,3,3,0
breast,0.125,2.0,0.015,3,3,0
breast,0.125,2.0,0.03,3,3,0
breast,0.125,2.0,0.045,3,3,0
breast,0.125,3.0,0.015,,3,
breast,0.125,3.0,0.03,,3,
breast,0.125,3.0,0.045,,3,
breast,0.25,1.0,0.015,3,3,0
breast,0.25,1.0,0.03,3,3,0
breast,0.25,1.0,0.045,3,3,0
breast,0.25,2.0,0.015,3,3,0
breast,0.25,2.0,0.03,3,3,0
breast,0.25,2.0,0.045,3,3,0
breast,0.25,3.0,0.015,,3,
breast,0.25,3.0,0.03,,3,
breast,0.25,3.0,0.045,,3,
breast,0.375,1.0,0.015,2,3,-1
breast,0.375,1.0,0.03,2,3,-1
breast,0.375,1.0,0.045,2,3,-1
breast,0.375,2.0,0.015,,3,
breast,0.375,2.0,0.03,,3,
breast,0.375,2.0,0.045,,3,
breast,0.375,3.0,0.015,,3,
breast,0.375,3.0,0.03,,3,
breast,0.375,3.0,0.045,,3,
diabetes,0.125,1.0,0.015,3,3,0
diabetes,0.125,1.0,0.03,3,3,0
diabetes,0.125,1.0,0.045,3,3,0
diabetes,0.125,2.0,0.015,3,3,0
diabetes,0.125,2.0,0.03,3,3,0
diabetes,0.125,2.0,0.045,3,3,0
diabetes,0.125,3.0,0.015,3,3,0
diabetes,0.125,3.0,0.03,3,3,0
diabetes,0.125,3.0,0.045,3,3,0
diabetes,0.25,1.0,0.015,3,3,0
diabetes,0.25,1.0,0.03,3,3,0
diabetes,0.25,1.0,0.045,3,3,0
diabetes,0.25,2.0,0.015,3,3,0
diabetes,0.25,2.0,0.03,3,3,0
diabetes,0.25,2.0,0.045,3,3,0
diabetes,0.25,3.0,0.015,3,3,0
diabetes,0.25,3.0,0.03,3,3,0
diabetes,0.25,3.0,0.045,3,3,0
diabetes,0.375,1.0,0.015,2,3,-1
diabetes,0.375,1.0,0.03,2,3,-1
diabetes,0.375,1.0,0.045,2,3,-1
diabetes,0.375,2.0,0.015,2,3,-1
diabetes,0.375,2.0,0.03,2,3,-1
diabetes,0.375,2.0,0.045,2,3,-1
diabetes,0.375,3.0,0.015,2,3,-1
diabetes,0.375,3.0,0.03,2,3,-1
diabetes,0.375,3.0,0.045,2,3,-1
digits,0.125,1.0,0.015,5,4,1
digits,0.125,1.0,0.03,5,4,1
digits,0.125,1.0,0.045,4,4,0
digits,0.125,2.0,0.015,5,4,1
digits,0.125,2.0,0.03,5,4,1
digits,0.125,2.0,0.045,4,4,0
digits,0.125,3.0,0.015,4,4,0
digits,0.125,3.0,0.03,4,4,0
digits,0.125,3.0,0.045,4,4,0
digits,0.25,1.0,0.015,4,4,0
digits,0.25,1.0,0.03,4,4,0
digits,0.25,1.0,0.045,4,4,0
digits,0.25,2.0,0.015,4,4,0
digits,0.25,2.0,0.03,4,4,0
digits,0.25,2.0,0.045,4,4,0
digits,0.25,3.0,0.015,4,4,0
digits,0.25,3.0,0.03,4,4,0
digits,0.25,3.0,0.045,4,4,0
digits,0.375,1.0,0.015,3,4,-1
digits,0.375,1.0,0.03,3,4,-1
digits,0.375,1.0,0.045,3,4,-1
digits,0.375,2.0,0.015,3,4,-1
digits,0.375,2.0,0.03,3,4,-1
digits,0.375,2.0,0.045,3,4,-1
digits,0.375,3.0,0.015,3,4,-1
digits,0.375,3.0,0.03,3,4,-1
digits,0.375,3.0,0.045,3,4,-1
intrinsic2,0.125,1.0,0.015,4,3,1
